16860,"Chattanooga, TN-GA (Metropolitan Statistical Area)",,900,Real GDP by metropolitan area,1,...,All industry total,19116,19172,19597,20073,20392,21161,21637,21752,20379,21012,21345,21896,21735,21712,22152,22309
16940,"Cheyenne, WY (Metropolitan Statistical Area)",,900,Real GDP by metropolitan area,1,...,All industry total,3430,3594,3788,4019,4128,4548,4699,5181,4576,4638,4801,4755,4862,4735,4733,4689
16980,"Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)",,900,Real GDP by metropolitan area,1,...,All industry total,502223,503971,510351,523290,534392,545932,553135,536771,516764,522484,529860,545392,543676,552758,563789,568969
17020,"Chico, CA (Metropolitan Statistical Area)",,900,Real GDP by metropolitan area,1,...,All industry total,5845,6105,6200,6326,6409,6438,6490,6505,6476,6474,6310,6088,6455,6357,6637,6823
17140,"Cincinnati, OH-KY-IN (Metropolitan Statistical Area)",,900,Real GDP by metropolitan area,1,...,All industry total,96633,99102,100222,102557,105622,105375,105526,104316,101955,105826,108412,109422,112256,112835,113194,116071
17300,"Clarksville, TN-KY (Metropolitan Statistical Area)",,900,Real GDP by metropolitan area,1,...,All industry total,6874,7201,7538,8120,8877,9185,8955,9244,9242,9514,10190,10047,9791,9620,9634,9441
17420,"Cleveland, TN (Metropolitan Statistical Area)",,900,Real GDP by metropolitan area,1,...,All industry total,3261,3367,3345,3491,3433,3391,3296,3376,3200,3446,3388,3629,3622,3740,3805,3746
17460,"Cleveland-Elyria, OH (Metropolitan Statistical Area)",,900,Real GDP by metropolitan area,1,...,All industry total,103743,105279,108071,110508,111663,111279,113307,110705,103325,104299,106486,108458,109952,112804,113809,114492
17660,"Coeur d'Alene, ID (Metropolitan Statistical Area)",,900,Real GDP by metropolitan area,1,...,All industry total,3380,3522,3607,3869,4221,4400,4558,4479,4309,4193,4306,4434,4550,4610,4842,4956
17780,"College Station-Bryan, TX (Metropolitan Statistical Area)",,900,Real GDP by metropolitan area,1,...,All industry total,5458,5520,5803,6032,6245,6475,6605,6841,7432,7620,7531,7782,8061,8444,8782,8599
17820,"Colorado Springs, CO (Metropolitan Statistical Area)",,900,Real GDP by metropolitan area,1,...,All industry total,22370,22955,23106,23807,24904,24691,24824,24606,25382,26516,27128,27323,27296,26775,27150,28106
17860,"Columbia, MO (Metropolitan Statistical Area)",,900,Real GDP by metropolitan area,1,...,All industry total,5990,6072,6118,6202,6404,6528,6403,6520,6601,6819,7030,7218,7570,7605,7710,7839
17900,"Columbia, SC (Metropolitan Statistical Area)",,900,Real GDP by metropolitan area,1,...,All industry total,27169,27860,28921,30028,30476,31640,32295,32615,32184,31632,31813,31808,32535,33667,34865,35261
17980,"Columbus, GA-AL (Metropolitan Statistical Area)",,900,Real GDP by metropolitan area,1,...,All industry total,10242,10411,10814,10891,10890,10929,10821,11146,11605,11940,12170,12352,12395,12225,12077,11865
